=== AHC 066 Comparison Report ===
Code A: temp.cpp
Code B: A_submit.cpp
------------------------------------------------------------
【ケース別結果】
Case 0214.txt | A:     65 [完走] (0.15s) | B:     65 [完走] (0.15s) | 引き分け (差: 0)
Case 0215.txt | A:    534 [完走] (1.09s) | B:    534 [完走] (1.04s) | 引き分け (差: 0)
Case 0216.txt | A:    106 [完走] (0.23s) | B:    106 [完走] (0.22s) | 引き分け (差: 0)
Case 0217.txt | A:     67 [完走] (0.15s) | B:     67 [完走] (0.15s) | 引き分け (差: 0)
Case 0218.txt | A:    340 [完走] (0.71s) | B:    340 [完走] (0.70s) | 引き分け (差: 0)
Case 0219.txt | A:     93 [完走] (0.21s) | B:     93 [完走] (0.22s) | 引き分け (差: 0)
Case 0220.txt | A:    377 [完走] (0.76s) | B:    377 [完走] (0.78s) | 引き分け (差: 0)
Case 0221.txt | A:    336 [完走] (0.72s) | B:    336 [完走] (0.71s) | 引き分け (差: 0)
Case 0222.txt | A:     98 [完走] (0.23s) | B:     98 [完走] (0.22s) | 引き分け (差: 0)
Case 0223.txt | A:    203 [完走] (0.46s) | B:    203 [完走] (0.46s) | 引き分け (差: 0)
Case 0224.txt | A:    130 [完走] (0.28s) | B:    130 [完走] (0.28s) | 引き分け (差: 0)
Case 0225.txt | A:    328 [完走] (0.65s) | B:    328 [完走] (0.63s) | 引き分け (差: 0)
Case 0226.txt | A:    101 [完走] (0.23s) | B:    101 [完走] (0.23s) | 引き分け (差: 0)
Case 0227.txt | A:     50 [完走] (0.12s) | B:     50 [完走] (0.12s) | 引き分け (差: 0)
Case 0228.txt | A:    108 [完走] (0.24s) | B:    108 [完走] (0.23s) | 引き分け (差: 0)
Case 0229.txt | A:    139 [完走] (0.30s) | B:    139 [完走] (0.29s) | 引き分け (差: 0)
Case 0230.txt | A:    180 [完走] (0.37s) | B:    180 [完走] (0.36s) | 引き分け (差: 0)
Case 0231.txt | A:    203 [完走] (0.41s) | B:    203 [完走] (0.40s) | 引き分け (差: 0)
Case 0232.txt | A:    556 [完走] (1.16s) | B:    556 [完走] (1.16s) | 引き分け (差: 0)
Case 0233.txt | A:    387 [完走] (0.83s) | B:    387 [完走] (0.85s) | 引き分け (差: 0)
