### seed:53 ###

=== [Phase 1] Probe Start (0.3s) ===
Probe Result : Failed (Time out or Dead End)
Difficulty   : HARD
====================================

=== [Phase 2] Main Search Start ===
Trial 84 | Beam: 24 | Noise: 1585 | Pen: 1 | Trn: 217 | Bte: 424 | Grb: 60 | Time: 151ms | Nodes: 100239 | Result: 5021 moves
Trial 85 | Beam: 19 | Noise: 1212 | Pen: 3 | Trn: 30 | Bte: 141 | Grb: 82 | Time: 22ms | Nodes: 10665 | Result: Failed [Early Stopped (Stuck)] (Turn: 254, Matched: 23/192, Garbage: 0)
Trial 86 | Beam: 29 | Noise: 1087 | Pen: 2 | Trn: 30 | Bte: 129 | Grb: 82 | Time: 247ms | Nodes: 174633 | Result: 7133 moves
Trial 87 | Beam: 20 | Noise: 1070 | Pen: 1 | Trn: 202 | Bte: 25 | Grb: 84 | Time: 60ms | Nodes: 44174 | Result: Failed [Early Stopped (Stuck)] (Turn: 2966, Matched: 34/192, Garbage: 0)
Trial 88 | Beam: 44 | Noise: 652 | Pen: 3 | Trn: 167 | Bte: 434 | Grb: 9 | Time: 45ms | Nodes: 34911 | Result: Failed [Early Stopped (Stuck)] (Turn: 45, Matched: 24/192, Garbage: 0)
Trial 89 | Beam: 46 | Noise: 1741 | Pen: 1 | Trn: 262 | Bte: 485 | Grb: 5 | Time: 45ms | Nodes: 32498 | Result: Failed [Early Stopped (Stuck)] (Turn: 91, Matched: 24/192, Garbage: 0)
Trial 90 | Beam: 16 | Noise: 589 | Pen: 2 | Trn: 37 | Bte: 422 | Grb: 1 | Time: 30ms | Nodes: 13966 | Result: Failed [Early Stopped (Stuck)] (Turn: 856, Matched: 34/192, Garbage: 0)
Trial 91 | Beam: 10 | Noise: 1287 | Pen: 3 | Trn: 236 | Bte: 315 | Grb: 3 | Time: 8ms | Nodes: 7927 | Result: Failed [Early Stopped (Stuck)] (Turn: 77, Matched: 24/192, Garbage: 0)
Trial 92 | Beam: 42 | Noise: 1368 | Pen: 1 | Trn: 10 | Bte: 160 | Grb: 98 | Time: 73ms | Nodes: 38334 | Result: Failed [Early Stopped (Stuck)] (Turn: 549, Matched: 26/192, Garbage: 0)
Trial 93 | Beam: 27 | Noise: 746 | Pen: 3 | Trn: 33 | Bte: 416 | Grb: 29 | Time: 25ms | Nodes: 13197 | Result: Failed [Early Stopped (Stuck)] (Turn: 58, Matched: 23/192, Garbage: 0)
Trial 94 | Beam: 23 | Noise: 1970 | Pen: 1 | Trn: 49 | Bte: 12 | Grb: 27 | Time: 28ms | Nodes: 10997 | Result: Failed [Early Stopped (Stuck)] (Turn: 43, Matched: 20/192, Garbage: 6)
Trial 95 | Beam: 30 | Noise: 1509 | Pen: 1 | Trn: 13 | Bte: 377 | Grb: 47 | Time: 45ms | Nodes: 26032 | Result: Failed [Early Stopped (Stuck)] (Turn: 414, Matched: 34/192, Garbage: 0)
Trial 96 | Beam: 29 | Noise: 1878 | Pen: 2 | Trn: 129 | Bte: 209 | Grb: 98 | Time: 26ms | Nodes: 16152 | Result: Failed [Early Stopped (Stuck)] (Turn: 45, Matched: 24/192, Garbage: 0)
Trial 97 | Beam: 34 | Noise: 1678 | Pen: 2 | Trn: 244 | Bte: 395 | Grb: 44 | Time: 28ms | Nodes: 16013 | Result: Failed [Early Stopped (Stuck)] (Turn: 43, Matched: 24/192, Garbage: 0)
Trial 98 | Beam: 25 | Noise: 1887 | Pen: 3 | Trn: 78 | Bte: 357 | Grb: 1 | Time: 80ms | Nodes: 23889 | Result: Failed [Early Stopped (Stuck)] (Turn: 30, Matched: 18/192, Garbage: 0)
Trial 99 | Beam: 41 | Noise: 1171 | Pen: 2 | Trn: 117 | Bte: 44 | Grb: 71 | Time: 38ms | Nodes: 19750 | Result: Failed [Early Stopped (Stuck)] (Turn: 102, Matched: 24/192, Garbage: 0)
Trial 100 | Beam: 22 | Noise: 549 | Pen: 2 | Trn: 208 | Bte: 325 | Grb: 27 | Time: 30ms | Nodes: 15662 | Result: Failed [Early Stopped (Stuck)] (Turn: 429, Matched: 23/192, Garbage: 0)
Trial 101 | Beam: 15 | Noise: 617 | Pen: 2 | Trn: 81 | Bte: 428 | Grb: 88 | Time: 115ms | Nodes: 69474 | Result: Failed [Early Stopped (Stuck)] (Turn: 4413, Matched: 181/192, Garbage: 0)
Trial 102 | Beam: 39 | Noise: 1119 | Pen: 3 | Trn: 96 | Bte: 413 | Grb: 14 | Time: 35ms | Nodes: 12717 | Result: Failed [Early Stopped (Stuck)] (Turn: 43, Matched: 23/192, Garbage: 0)
Trial 103 | Beam: 10 | Noise: 966 | Pen: 2 | Trn: 76 | Bte: 428 | Grb: 38 | Time: 9ms | Nodes: 5787 | Result: Failed [Early Stopped (Stuck)] (Turn: 91, Matched: 23/192, Garbage: 0)
Trial 104 | Beam: 45 | Noise: 1560 | Pen: 1 | Trn: 215 | Bte: 166 | Grb: 18 | Time: 300ms | Nodes: 196198 | Result: Failed [Time Out] (Turn: 5638, Matched: 188/192, Garbage: 0)
Trial 105 | Beam: 21 | Noise: 947 | Pen: 3 | Trn: 103 | Bte: 400 | Grb: 92 | Time: 123ms | Nodes: 92720 | Result: 5185 moves
Trial 106 | Beam: 26 | Noise: 855 | Pen: 2 | Trn: 190 | Bte: 170 | Grb: 12 | Time: 22ms | Nodes: 13187 | Result: Failed [Early Stopped (Stuck)] (Turn: 85, Matched: 24/192, Garbage: 0)
Trial 107 | Beam: 46 | Noise: 1702 | Pen: 2 | Trn: 281 | Bte: 452 | Grb: 27 | Time: 44ms | Nodes: 32599 | Result: Failed [Early Stopped (Stuck)] (Turn: 45, Matched: 24/192, Garbage: 0)
Trial 108 | Beam: 38 | Noise: 725 | Pen: 3 | Trn: 201 | Bte: 403 | Grb: 80 | Time: 144ms | Nodes: 106674 | Result: 3287 moves  <-- Best Updated!
Trial 109 | Beam: 19 | Noise: 1494 | Pen: 2 | Trn: 127 | Bte: 189 | Grb: 50 | Time: 16ms | Nodes: 11510 | Result: Failed [Early Stopped (Stuck)] (Turn: 45, Matched: 24/192, Garbage: 0)
Trial 110 | Beam: 49 | Noise: 1124 | Pen: 3 | Trn: 126 | Bte: 107 | Grb: 43 | Time: 49ms | Nodes: 24699 | Result: Failed [Early Stopped (Stuck)] (Turn: 127, Matched: 24/192, Garbage: 0)
Trial 111 | Beam: 35 | Noise: 605 | Pen: 2 | Trn: 172 | Bte: 50 | Grb: 68 | Time: 57ms | Nodes: 18942 | Result: Failed [Early Stopped (Stuck)] (Turn: 35, Matched: 20/192, Garbage: 0)
Trial 112 | Beam: 20 | Noise: 535 | Pen: 1 | Trn: 16 | Bte: 284 | Grb: 20 | Time: 106ms | Nodes: 82557 | Result: Failed [Early Stopped (Stuck)] (Turn: 3863, Matched: 145/192, Garbage: 0)
Trial 113 | Beam: 42 | Noise: 1740 | Pen: 2 | Trn: 297 | Bte: 310 | Grb: 74 | Time: 40ms | Nodes: 28979 | Result: Failed [Early Stopped (Stuck)] (Turn: 45, Matched: 24/192, Garbage: 0)
